movieID,title,overview,poster_path,release_date,genres,rating,link,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,cast
693134,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,2024-02-27,"[878, 12]",7.9,https://www.youtube.com/watch?v=Faioi9RAoFE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison', 'Tara Breathnach', 'Akiko Hitomi', 'Imola Gáspár', 'Alison Adnet', 'Hamza Baissa', 'Hassan Najib', 'Jasper Ryan-Carter', 'Elbooz Omar Ahmed Fathie', 'Abdelkarim Hussein Seli Mohamed Hassanin', 'Joseph Beddelem', 'Xavier Alba Royo', 'Rachid Abbad', 'Affif Ben Badra', 'Botond Bóta', 'Abdelaziz Boumane', 'Abdellah Echahbi', 'Zouhair Elakkari', 'Noureddine Hajoujou', 'Mohamed Mouraoui', 'Adil Achraf Sayd', 'Hamza Sayd', 'Hopi Grace', 'Havin Fathi', 'Kincsö Pethö', 'Cat Simmons', 'Burt Caesar', 'Remi Fadare', 'Amer El-Erwadi', 'Tedroy Newell', 'Oxa Hazel', 'Hajiyeva Pakiza', 'Leon Herbert', 'Sima Rostami', 'Yvonne Campbell', 'Joseph Charles', 'Vic Zander', 'Dylan Baldwin', 'Marcia Tucker', 'Nicola Brome', 'Kathy Owen', 'Huw Novelli', 'Moe Bar-El', 'Serhat Metin', 'Amra Mallassi', 'Adam Bloom', 'Luis Alkmim', 'Jordan Long', 'Omar A.K.', 'Zdeněk Dvořáček', 'Billy Clements', 'Anton Saunders', 'Lex Daniel', 'Dominic McHale', 'Paul Boyle', 'Niall White', 'Tony Cook', 'Gábor Szemán', 'Jonathan Gunning', 'Will Irvine', 'Alan Mehdizadeh', 'Rex Adams', 'Molly Mcowan', 'Ana Cilas', 'Kajsa Mohammar', 'Sára Bácsfalvi', 'Kocsis Zsofia', 'Matthew Sim', 'Steve Wall', 'Italo Amerighi', 'Tim Hilborne', 'Cecile Sinclair', 'Tracy Coogan', 'Zoe Kata Kaska', 'Jimmy Walker', 'Rand Faris', 'Fouad Humaidan', 'Manaf Irani', 'Dora Kápolnai-Schvab', 'Joelle', 'Anya Taylor-Joy', 'Peter Sztojanov Jr.', 'Alexandra Tóth']"
823464,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",/tMefBSflR6PGQLv7WvFPpKLZkyk.jpg,2024-03-27,"[28, 878, 12, 14]",8.416666666666666,https://www.youtube.com/watch?v=3N84gAPPKXE,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns', 'Fala Chen', 'Rachel House', 'Ron Smyck', 'Chantelle Jamieson', 'Greg Hatton', 'Kevin Copeland', 'Tess Dobre', 'Tim Carroll', 'Anthony Brandon Wong', 'Sophia Emberson-Bain', 'Chika Ikogwe', 'Vincent B. Gorce', 'Yeye Zhou', 'Jamaliah Othman', 'Nick Lawler', 'Jordy Campbell', 'Cassie Riley']"
1011985,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,"[16, 28, 10751, 35, 14]",7.125,https://www.youtube.com/watch?v=5rqs52icQBw,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng', 'Lori Tan Chinn', 'Seth Rogen', 'Jimmy Donaldson', 'James Murray', 'James Sie', 'Cedric Yarbrough', 'Vic Chao', 'Audrey Brooke', 'Lincoln Nakamura', 'Cece Valentina', 'April Hong', 'Suzanne Buirgy', 'Logan Kim', 'Reyn Doi', 'Mick Wingert', 'Peggy Etra', 'Gedde Watanabe', 'Karen Maruyama', 'Tom McGrath', 'Phil LaMarr', 'Mike Mitchell', 'Colleen Smith', 'Sarah Sarang Oh', 'Paul Pape', 'James Taku Leung', 'Steve Alterman', 'Christopher Knights', 'Harry Shum Jr.']"
720321,Breathe,"Air-supply is scarce in the near future, forcing a mother and daughter to fight for survival when two strangers arrive desperate for an oxygenated haven. http://www.leakedflix.xyz",/wTW2t8ocWDlHns8I7vQxuqkyK58.jpg,2024-04-04,"[878, 9648, 53, 28]",8.0,https://www.youtube.com/watch?v=JENDBXIfWWM,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"['Jennifer Hudson', 'Milla Jovovich', 'Quvenzhané Wallis', 'Common', 'Sam Worthington', 'Raúl Castillo', 'James Saito', 'Dan Martin', 'Madison Latham']"
1239146,Woody Woodpecker Goes to Camp,"After getting kicked out of the forest, Woody thinks he's found a forever home at Camp Woo Hoo — until an inspector threatens to shut down the camp.",/mMnzNYvpqLLLdgF5TMmXfuy6wzx.jpg,2024-04-12,"[10751, 35, 16]",8.142857142857142,https://www.youtube.com/watch?v=7Sj39US0hYI,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Eric Bauza', 'Kevin Michael Richardson', 'Tom Kenny', 'Mary-Louise Parker', 'Josh Lawson', 'Chloe De Los Santos', 'Kershawn Theodore', 'Savannah La Rain', 'Evan Stanhope', 'Esther Son', 'George Holahan-Cantwell', 'Kushinka Jayewardene', 'CC Dewar', 'William Atticus Parker', 'Gyton Grantley', 'Anthony Craig', 'Ian Rooney', ""Ras-Samuel Welda'abzgi""]"
601796,Alienoid,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,2022-07-20,"[878, 28, 14, 12]",7.714285714285714,https://www.youtube.com/watch?v=myMfVZX9Nso,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['Ryu Jun-yeol', 'Kim Woo-bin', 'Kim Tae-ri', 'So Ji-sub', 'Yum Jung-ah', 'Jo Woo-jin', 'Kim Eui-sung', 'Lee Ha-nee', 'Shin Jung-keun', 'Lee Si-hoon', 'Kim Dae-myung', 'Choi Yu-ri', 'Kim Ki-cheon', 'Yoon Byung-hee', 'Ji Gun-woo', 'Yoon Kyung-ho', 'Ok Ja-yeon', 'Lee Hyun-gul', 'Kim Hae-sook', 'Yoo Jae-myung', 'Jeon Yeo-been', 'Kim Min-seo', 'Lee Sun-hee', 'Baek Hyun-joo', 'Choi Kwang-je', 'Shim Dal-gi', 'Oh Chae-eun', 'Jang Jun-whee', 'Lee Dong-yong', 'Kim Jung-han', 'Kim Chan-hyung', 'Lee Dong-hee', 'Song Ji-hyuk']"
940551,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,"[16, 28, 12, 35, 10751]",7.125,https://www.youtube.com/watch?v=dFkyNpPf-Pk,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal', 'Awkwafina', 'Carol Kane', 'Keegan-Michael Key', 'Danny DeVito', 'David Mitchell', 'Isabela Merced', 'Carlos Alazraqui', 'Brock Baker', 'Gregg Berger', 'Steve Blum', 'Kimberly Brooks', 'Rodger Bumpass', 'Corey Burton', 'Sean Chiplock', 'Amber Lee Connors', 'Ian James Corlett', 'David Cowgill', 'Robin Atkin Downes', 'David Errigo Jr.', 'Bill Farmer', 'Dave Fennoy', 'Keith Ferguson', 'Erin Fitzgerald', 'Grant George', 'David Kaye', 'Danny Mann', 'Zeno Robinson', 'Tara Sands', 'Veronica Taylor', 'Matthew Wood']"
359410,Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",/bXi6IQiQDHD00JFio5ZSZOeRSBh.jpg,2024-03-08,"[28, 53]",7.333333333333333,https://www.youtube.com/watch?v=GaHimy6aTkM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Jake Gyllenhaal', 'Daniela Melchior', 'Conor McGregor', 'Billy Magnussen', 'Jessica Williams', 'Hannah Love Lanier', 'Joaquim de Almeida', 'B.K. Cannon', 'J. D. Pardo', 'Arturo Castro', 'Lukas Gage', 'Post Malone', 'Dominique Columbus', 'Beau Knapp', 'Kevin Carroll', 'Bob Menery', 'Darren Barnet', 'Travis Van Winkle', 'Cesar Báez', 'Franklin Romero Jr.', 'Catfish Jean', 'Chad Guerrero', 'Craig Ng', 'Joe Ciotti', 'Vanessa Gómez Reyes', 'Ellenike Pichardo', 'Braian Valerio', 'Jose Mota Prestol', 'Candy Santana', 'Jonathan Hunt', 'Cannon Smith', 'Ruairi Rhodes', 'Omar Patin', 'Jose A. Diaz', 'Samuel Sang', 'Katherine Read', 'Ty Hemenway', 'Claudia Peña', 'Alexander Bellone', 'Alejandro Bescos', 'Luis Dominguez', 'Jay Hieron', 'Chris Tognoni', 'Mark Smith', 'David Warren', 'Kenny Lorenzetti', 'Bruce Buffer', 'Jon Anik', 'Daniel Cormier', 'Megan Olivi', 'Tommy Lentsch']"
929590,Civil War,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg,2024-04-10,"[28, 10752, 878]",8.5,https://www.youtube.com/watch?v=c2G18nIVpNE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"['Kirsten Dunst', 'Wagner Moura', 'Cailee Spaeny', 'Stephen McKinley Henderson', 'Nelson Lee', 'Nick Offerman', 'Jefferson White', 'Evan Lai', 'Vince Pisani', 'Justin James Boykin', 'Jess Matney', 'Greg Hill', 'Edmund Donovan', 'Sonoya Mizuno', 'Tim James', 'Simeon Freeman', 'James Yaegashi', 'Dean Grimes', 'Alexa Mansour', 'Martha B. Knighton', 'Melissa Saint-Amand', 'Karl Glusman', 'Jin Ha', 'Jojo T. Gibbs', 'Jared Shaw', 'Justin Garza', 'Brian Philpot', 'Tywaun Tornes', 'Juani Feliz', 'Jesse Plemons', 'John Newberg', 'Kevin Howell', ""Ernest 'Scooby' Rogers"", 'Robert Perry Bierman', 'Joe Manuel Gallegos Jr.', 'Christopher Cocke', 'Ryan Austin Bryant', 'Jeff Bosley', 'Brent Moorer Gaskins', 'Evan Holtzman', 'Lauren Marie Gordon', 'Kevin Kedgley', 'Timothy LaForce', 'Cora Maple Lindell', 'Cody Marshall', 'Randy S. Love', 'Petey Nguyễn', 'LePrix Robinson', 'Kim Rosen', 'Daniel Patrick Shook', 'Robert Tinsley', 'Jaclyn White', 'Temper Lavigne']"
654739,Hard Hit,"On his way to work, a bank manager receives an anonymous call claiming there's a bomb under his car seat, and if anyone exits the car, it will explode unless he can pay a ransom.",/y2Aimt8isimtigec3e4kB2G9FMR.jpg,2021-06-23,"[28, 80, 18, 53]",8.142857142857142,https://www.youtube.com/watch?v=97ci-XxXjsQ,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"['Jo Woo-jin', 'Lee Jae-in', 'Ji Chang-wook', 'Jin Kyung', 'Kim Ji-ho', 'Jun Suk-ho', 'Jeong In-gi', 'Ryu Seung-su', 'Jeon Kwang-jin', 'Jung Ae-yeun', 'Lee Sul', 'Nam Myung-ryeol', 'Park Young-seo', 'Choi Yoo-song', 'Kim Tae-yul']"
